id,Länk,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Förening,Energiklass,Avgift,Pris/m²,Antal besök,Adress,Pris,Beskrivning,Driftkostnad,Uteplats
1,https://www.hemnet.se/bostad/lagenhet-3rum-odal-vilan-istianstads-kommun-hagtornsvagen-15-21318124,Bostadsrätt,3,73.5,Ja,3,1954,BRF Mejseln nr 1,E,4014,12177,0,Hagtornsvägen 15,895000,"På Hagtornsvägen 15 erbjuds nu en rymlig trea med balkong! \r\nBostaden erbjuder ett stilrent kök, rymligt vardagsrum, helkaklat badrum och två sovrum. \r\nSom pricken över iet, en mysig balkong som vetter ut mot den gröna innergården. \r\n\r\nFrån Vilan har du närhet till stadskärnan, daglig service och allt du kan tänkas behöva i vardagen! \r\nEtt stenkast bort finns mataffärer, restauranger, vårdcentral, skola och mycket mer. \r\n\r\nVarmt välkommen att boka visning via mäklarens hemsida!",,
2,https://www.hemnet.se/bostad/lagenhet-3rum-dalhem-helsingborgs-kommun-dalhemsvagen-43c-21417463,Bostadsrätt,3,80,Ja,2,,HSB BRF Kjellstorp i Helsingborg,F,7270,14938,0,Dalhemsvägen 43C,1195000,"På andra våningen möter du denna stilfulla trea på 80 kvm. \nRedan i entrén blir du mött av en hemtrevlig känsla. Fräscha fina golv och snygga inredningsval är ett genomgående tema i denna bostaden. \nLägenheten blev totalrenoverad under 2023 och har idag ett modernt nytt kök från ikea med gråa luckor och integrerade vitvaror. Ett härligt kök med mycket mycket skåp och bänkyta för förvaring och matlagning. \nMed en matplats längst in imet sitter du praktiskt intill köket och har gott om utrymme för familjens middagar. Bredvid köket ligger den inglasade balkongen som har ett rymligt och bra solläge. Här har nuvarande ägare gjort om för attmet skall nyttjas som ett förlängt vardagsrum och här kan man njuta i många timmar.\nLägenheten känns stor och rymlig och har två stora sovrum som båda rymmer såväl dubbelsäng, mindre sivbord och garderob. Mellan sovrummen finns idag en walk in closet för extra klädesförvaring men kan givetvis bli vad nästa ägare har mest nytta av. \nDet stora öppna vardagsrummet har gott om plats och bjuder in hela familjen för trevligt umgänge. Förra året målades hela lägenheten om och föreningen gjorde även stambyte av badrummet under 2022/2023. \n\nEtt fantastisk fin lägenhet som har allt du önskar och mer därtill som du bara kan flytta direkt in i. \n\nUtanför har du gott om härliga grönområden, lekplatser, parkering och garage. Brf Kjellstorp är en välskött HSB-förening.\n\nVälkomna!\n------------------------------------------------------------------------------------------------------------\n\nBra att tänka på:\nFörbered dig som potentiell köpare så mycket du kan för att maximera dina chanser när budgivningen sätter igång; \n* Prata med din bank angående lånelöfte eller fråga oss; Jag/vi ber gärna våra bankkontakter att ringa upp dig med ett bra erbjudande!\n* Äger du ditt nuvarande boende / Behöver du sälja för att kunna köpa ett nytt? Jag hjälper dig gärna med en värdering och/eller att lägga upp en plan för din försäljning!",5400,
3,https://www.hemnet.se/bostad/lagenhet-2rum-ribersborg-malmo-kommun-nicoloviusgatan-5b-21419080,Bostadsrätt,2,76,Ja,9,1959,BRF Örehus 2,,4076,48618,0,Nicoloviusgatan 5B,3695000,"I alltid lika attraktiva Ribersborg på första parkett mot havet har vi nu nöjet att presentera denna fantastiska tvårummare. Vi tar hissen till husets nionde våning där vi möter ett hem med allt man kan önska sig! Här harmoniserar omsorgsfullt valda kulörer och moderna materialval med charmig fiskbensparkett och vaca attribut. Den rymliga planlösningens öppna atmosfär präglas av generöst ljusinsläpp från stora fönsterpartier och utanför landar blicken på den otroliga utsikten. Kliver vi ut på balkongen i österläge imponeras vi av frihetskänslan som infinner sig högt upp och vyerna bjuder på Malmölandmärken så som Turning Torso, Kronprinsen och Ribersborgs stora grönområden. Lägg där till ett mycket stilrent kök, tilltaget sovrum, helkaklat badrum och praktiska förvaringslösningar. På Nicoloviusgatan 5b bor vi i en välskött förening på bekvämt avstånd från stadspuls, lummiga grönområden, matbutiker, restauranger, kommunikationer och service. Varmt välkomna på visning!",6746,
4,https://www.hemnet.se/bostad/lagenhet-3rum-rorsjostaden-malmo-kommun-bertrandsgatan-2e-21417857,Bostadsrätt,3,87,,1,1948,HSB BRF Eken i Malmö,D,5908,34425,9,Bertrandsgatan 2E,2995000,Här bor du i ett stilrent och modernt hem med direkt anslutning till den mysiga gården. Lägenheten går i neutrala smakfulla färger som fulländats med lyxiga interiör val. Den öppna planlösningen mellan kök och vardagsrum bidrar till den rymliga känslan. Här finns plats för att ordna middagar och bjuda hem nära och kära. De två sovrummen kan med fördel nyttjas efter behov. Välkommen på visning!,9740,Ja
5,https://www.hemnet.se/bostad/lagenhet-3rum-norra-faladen-lunds-kommun-skarpskyttevagen-2b-21388091,Bostadsrätt,3,95,Ja,3,1967,HSB BRF Tingvallen i Lund,E,5523,24158,20,Skarpskyttevägen 2B,2295000,"Välkomna till denna ljusa och välplanerade trerumslägenhet i ett fridfullt och grönskande område. Den praktiska hallen leder vidare till ett luftigt och lättmöblerat vardagsrum. Genom stora fönster flödar dagsljuset in och skapar en härlig känsla av rymd och trivsel. Vardagsrummet har en naturlig övergång till den rymliga balkongen, där du kan njuta av utomhusmiljön med utsikt över det lugna området. Här finns gott om plats för både soffgrupp och matbord – en perfekt plats för mysiga middagar och socialt umgänge.\r\n\r\nI direkt anslutning till vardagsrummet ligger det stilrena köket, där funktionalitet står i fokus. Köket erbjuder generösa arbetsytor och goda förvaringsmöjligheter och är utrustat med tvättmaskin, diskmaskin, kyl/frys, spis och fläkt. Här finns generöst med plats för matbord invid de stora fönsterpartierna, perfekt för den stora familjen.\r\n\r\nDet större sovrummet rymmer enkelt en dubbelsäng samt förvaringsmöbler efter behov. Här finns också en praktisk klädkammare som erbjuder extra förvaring. Det mindre sovrummet är mångsidigt och kan användas som gästrum, hemmakontor ellre barnrum. Bostadens två badrum är helkaklade och fräscha. Det större badrummet är utrustat med badkar, wc, kommod. Det mindre badrummet har även det dusch, wc, kommod och spegelskåp.\r\n\r\nDenna smart planerade trea är idealisk för dig som söker ett bekvämt och funktionellt hem i ett lugnt, barnvänligt område nära grönområden, skolor och förskolor. Här bor ni på tredje våningen i ett lummigt och barnvänligt område med närhet till såväl grönområden som Lunds absoluta centrum. Inom promenadavstånd finns Fäladstorget med hela dess utbud av matbutiker, vårdcentral, apotek, frisör och restauranger. Lägenheten ligger också nära universitetssjukhuset, ESS forskningsanläggning, LTH, universitetet samt Ideon. Inom gångavstånd finns även motionsanläggningarna Victoriastadion och Delphinen som erbjuder bl.a. bad, gym, tennis- och fotbollsplaner, badminton och pingis.  När vädret tillåter kanske grönskande S:t Hans backar lockar desto mer sina kullar, dalar och stora grönytor. Här bjuds också möjlighet till frisbeegolf, motionsslingor och Lunds bästa pulkabackar på vintern! \r\n\r\nVarmt välkommen på visning!",,
6,https://www.hemnet.se/bostad/lagenhet-2rum-ostra-sorgenfri-malmo-kommun-branteviksgatan-4e-21419235,Bostadsrätt,2,56,Ja,3,1955,HSB BRF Ganbo i Malmö,,3838,24911,26,Branteviksgatan 4E,1395000,"Välkommen till denna ljusa och stilrena bostad med en inglasad balkong i soligt söderläge – perfekt för att nyttja många månader om året. Bostaden har originalparkett i både sovrum och vardagsrum vilket ger en tidlös känsla och kökets rustika tegelvägg ger en härlig karaktär till matlagningsmiljön. Vidare bjuds vi på ett nyrenoverat badrum och goda förvaringsmöjligheter med inbyggda garderober vilket gör hemmet extra praktiskt. Utanför dörren väntar härlig grönska med stor gård och i föreningen finns även bastu, övernattningslägenhet och lokal att hyra för fest eller aktiviteter. Närområdet erbjuder service och matbutik samt goda kommunikationer med både buss och tåg samt Möllan och Folkets Park. Varmt välkomna på visning!",9360,
7,https://www.hemnet.se/bostad/lagenhet-3rum-fjalkinge-istianstads-kommun-folketshusvagen-9a-21418818,Bostadsrätt,3,68,Ja,2,1958,BRF Toftadal i Fjälkinge,,3350,15441,25,Folketshusvägen 9A,1050000,"Välkommen till denna fantastiska trea på andra våningen i ett lugnt och trivsamt område i Fjälkinge! Lägenheten är i toppskick med ett totalrenoverat kök och badrum, samt omsorgsfullt uppdaterade ytskikt som skapar ett fräscht och modernt intryck.\r\n\r\nDet stilfulla köket är fullt utrustat med moderna vitvaror och gott om arbetsytor. Badrummet är helkaklat och har skön golvvärme. Från både köket och vardagsrummet når du den inglasade balkongen – en perfekt plats för avkoppling året om.\r\n\r\nVardagsrummet har en vacker fiskbensparkett och generösa ytor för både soffgrupp och matsalsmöbel. De två ljusa sovrummen erbjuder gott om plats och förvaring, varav ett med stor garderob.\r\n\r\nHär bor du i ett lugnt område med närhet till service, skolor och bra kommunikationer. En riktig pärla – varmt välkommen på visning!",16092,Ja
8,https://www.hemnet.se/bostad/lagenhet-3rum-city-malmo-kommun-stora-nygatan-24-21396408,Bostadsrätt,3,73,Ja,4,1963,BRF Altonahuset,F,4904,42397,87,Stora Nygatan 24,3095000,"Mitt i centrala Malmö finner ni denna yteffektiva trea med enhetlig interiör och gott om fönster som ger ett fint ljusinsläpp. Vi möts av en lång ljus hall som bjuder in till det nyrenoverade köket med generös förvaring, goda arbetsytor och gott om plats för matbord. Vidare finner vi ett stort luftigt vardagsrum med sociala öppna ytor för avkoppling med familj och vänner. Från vardagsrummet nås även balkongen som bjuder på en strålande utsikt mot Hansa och citymyllret. Sovrummen inger en hemtrevlig känsla med ljus interiör och bra förvaring. Vidare erbjuder lägenheten ett helkaklat badrum och bra med förvaring. Vill du bjuda vännerna på grillkväll så finns det möjlighet till det på föreningens upphöjda innergård med mysiga utemöbler och grill. Läget är utmärkt mitt i city bara ett stenkast från shopping, restauranger och nöjen samt med fina promenadstråk längs kanalen. Du har allt du behöver inom räckhåll vilket gör livet här både bekvämt och spännande. Varmt välkommen!",12120,
9,https://www.hemnet.se/bostad/lagenhet-3rum-lund-centrum-lunds-kommun-revingegatan-2c-21418549,Bostadsrätt,3,74,Ja,3,2015,BRF Lunds Södra 1,,4716,52635,25,Revingegatan 2C,3895000,"Nu ges äntligen tillfället att förvärva denna välplanerade trea med stor balkong på ca 13 kvm, på oslagbar adress mitt i Lunds centrum. Härliga ljusinsläpp från generösa fönsterpartier samsas med genomgående hög standard och vaca material med funktionalitet, komfort och kvalitet. Detta är en bostad där nyproduktionens alla fördelar verkligen kommer till sin rätt. \r\n\r\nInomhus bjuds vi på generösa ytor och rymliga i en optimal planlösning.  \r\n\r\nVardagsrummet är hemmets hjärta med trevliga vinklar och köket i delvis öppen planlösning. Härligt ljusinsläpp från stora fönsterpartier. Lägenheten har även en oslagbar balkong om ca 13 kvm i Västerläge med plats för utemöblemang mot föreningens vaca innergård. Balkongen gör även att själva vardagsrummet och köket känns mycket större. Två bra sovrum med plats för säng och arbetsplats om så önskas. Helkaklat badrum med tvättmaskin och torktumlare. Lägenheten har även en bra skjutdörrsgardero i hallen.\r\n\r\nBland lummiga gator och vacker arkitektur ligger detta nyproducerade bostadshus på Revingegatan. Det är inte svårt att förstå varför området är så omtyckt. Här bor du i lugna kvarter precis intill Södra Esplanaden och en kort promenad från Stadsparken och Lunds absoluta centrum med hela dess utbud av butiker, mysiga restauranger och lokalbussar.",,
10,https://www.hemnet.se/bostad/lagenhet-4rum-centrumnara-svedala-kommun-hantverkaregatan-26-b-21417481,Bostadsrätt,4,99,Ja,3,1969,HSB BRF Vega i Svedala,E,7394,23182,33,Hantverkaregatan 26 B,2295000,"Välkommen till denna rymliga och centrala lägenhet i den omtyckta bostadsrättsföreningen VEGA i Svedala. Detta är en utav de tre lägenheterna i föreningen som har 4 och kök.\r\n\r\nGenerös lägenhet om hela 99 kvm fördelat på ljust vardagsrum med gavelfönster, snyggt kök med matplats, tre sovrum, helkaklat badrum med tvätt och wc. Här bor man i en mycket välplanerad bostad med fina ytor och mycket ljus från tre väderstreck. \r\n\r\nHärlig inglasad balkong i väster med utgång från både kök och vardagsrum.\r\n\r\nAlla lägenheter i föreningen har nyligen genomgått en större renovering i form av byte av alla fönster samt balkongdörrar. På årsstämman 2022 togs även beslut att ansluta föreningens fastigheter till Svedala Fjärrvärme, vilket sannolikt kommer innebära betydligt lägre driftskostnader i framtiden och som kommer påverka föreningens ekonomi väldigt positivt!\r\n\r\nCentralt belägen lägenhet med närhet till centrum, kommunikationer vid buss och tåg, skolor, förskola, idrottsplats, sporthall, badplats och Flora- och Stadsparken.\r\n\r\nVarmt välkommen med din anmälan till visning!",,
